video,ds_idx,frame_t,iou,gt_area,pred_area,area_ratio,center_err,w_err,h_err,gt_ar,pred_ar,size_cat,err_type,gt_x1,gt_y1,gt_x2,gt_y2,pred_x1,pred_y1,pred_x2,pred_y2
lion_cub_1,2745,2,0.8122,0.113622,0.136283,1.199,0.0221,0.0339,0.0263,0.579,0.618,medium,good,0.3604,0.3949,0.6167,0.8381,0.364,0.3899,0.6543,0.8594
lion_cub_1,2745,3,0.8313,0.101458,0.113471,1.118,0.0201,0.0206,0.0121,0.539,0.57,medium,good,0.3836,0.4018,0.6174,0.8358,0.3926,0.4016,0.647,0.8477
lion_cub_1,2745,4,0.8355,0.096555,0.115561,1.197,0.01,0.0326,0.0192,0.516,0.566,medium,good,0.3086,0.4064,0.5318,0.8389,0.2837,0.3916,0.5396,0.8433
lion_cub_1,2746,0,0.7302,0.072999,0.099966,1.369,0.0158,0.0361,0.0562,0.411,0.438,medium,good,0.3893,0.382,0.5625,0.8036,0.3865,0.3582,0.5957,0.8359
lion_cub_1,2746,1,0.8122,0.113622,0.136283,1.199,0.0221,0.0339,0.0263,0.579,0.618,medium,good,0.3604,0.3949,0.6167,0.8381,0.364,0.3899,0.6543,0.8594
lion_cub_1,2746,2,0.8313,0.101458,0.113471,1.118,0.0201,0.0206,0.0121,0.539,0.57,medium,good,0.3836,0.4018,0.6174,0.8358,0.3926,0.4016,0.647,0.8477
lion_cub_1,2746,3,0.8355,0.096555,0.115561,1.197,0.01,0.0326,0.0192,0.516,0.566,medium,good,0.3086,0.4064,0.5318,0.8389,0.2837,0.3916,0.5396,0.8433
lion_cub_1,2746,4,0.7687,0.104121,0.13545,1.301,0.0096,0.0548,0.0191,0.459,0.552,medium,good,0.2952,0.3673,0.5138,0.8436,0.2764,0.3621,0.5498,0.8574
lion_cub_1,2747,0,0.8122,0.113622,0.136283,1.199,0.0221,0.0339,0.0263,0.579,0.618,medium,good,0.3604,0.3949,0.6167,0.8381,0.364,0.3899,0.6543,0.8594
lion_cub_1,2747,1,0.8313,0.101458,0.113471,1.118,0.0201,0.0206,0.0121,0.539,0.57,medium,good,0.3836,0.4018,0.6174,0.8358,0.3926,0.4016,0.647,0.8477
lion_cub_1,2747,2,0.8355,0.096555,0.115561,1.197,0.01,0.0326,0.0192,0.516,0.566,medium,good,0.3086,0.4064,0.5318,0.8389,0.2837,0.3916,0.5396,0.8433
lion_cub_1,2747,3,0.7687,0.104121,0.13545,1.301,0.0096,0.0548,0.0191,0.459,0.552,medium,good,0.2952,0.3673,0.5138,0.8436,0.2764,0.3621,0.5498,0.8574
lion_cub_1,2747,4,0.7517,0.087057,0.113689,1.306,0.024,0.0407,0.0395,0.527,0.571,medium,good,0.3093,0.3483,0.5234,0.7548,0.3115,0.3367,0.5664,0.7827
lion_cub_1,2748,0,0.8313,0.101458,0.113471,1.118,0.0201,0.0206,0.0121,0.539,0.57,medium,good,0.3836,0.4018,0.6174,0.8358,0.3926,0.4016,0.647,0.8477
lion_cub_1,2748,1,0.8355,0.096555,0.115561,1.197,0.01,0.0326,0.0192,0.516,0.566,medium,good,0.3086,0.4064,0.5318,0.8389,0.2837,0.3916,0.5396,0.8433
lion_cub_1,2748,2,0.7687,0.104121,0.13545,1.301,0.0096,0.0548,0.0191,0.459,0.552,medium,good,0.2952,0.3673,0.5138,0.8436,0.2764,0.3621,0.5498,0.8574
lion_cub_1,2748,3,0.7517,0.087057,0.113689,1.306,0.024,0.0407,0.0395,0.527,0.571,medium,good,0.3093,0.3483,0.5234,0.7548,0.3115,0.3367,0.5664,0.7827
lion_cub_1,2748,4,0.7399,0.073997,0.100003,1.351,0.0124,0.0428,0.037,0.426,0.486,medium,good,0.3231,0.3259,0.5008,0.7424,0.3123,0.314,0.5327,0.7676
lion_cub_1,2749,0,0.8355,0.096555,0.115561,1.197,0.01,0.0326,0.0192,0.516,0.566,medium,good,0.3086,0.4064,0.5318,0.8389,0.2837,0.3916,0.5396,0.8433
lion_cub_1,2749,1,0.7687,0.104121,0.13545,1.301,0.0096,0.0548,0.0191,0.459,0.552,medium,good,0.2952,0.3673,0.5138,0.8436,0.2764,0.3621,0.5498,0.8574
lion_cub_1,2749,2,0.7517,0.087057,0.113689,1.306,0.024,0.0407,0.0395,0.527,0.571,medium,good,0.3093,0.3483,0.5234,0.7548,0.3115,0.3367,0.5664,0.7827
lion_cub_1,2749,3,0.7399,0.073997,0.100003,1.351,0.0124,0.0428,0.037,0.426,0.486,medium,good,0.3231,0.3259,0.5008,0.7424,0.3123,0.314,0.5327,0.7676
lion_cub_1,2749,4,0.7849,0.081936,0.086556,1.056,0.0308,-0.001,0.031,0.338,0.316,medium,good,0.2885,0.2542,0.4548,0.7469,0.3003,0.2673,0.4656,0.791
lion_cub_1,2750,0,0.7687,0.104121,0.13545,1.301,0.0096,0.0548,0.0191,0.459,0.552,medium,good,0.2952,0.3673,0.5138,0.8436,0.2764,0.3621,0.5498,0.8574
lion_cub_1,2750,1,0.7517,0.087057,0.113689,1.306,0.024,0.0407,0.0395,0.527,0.571,medium,good,0.3093,0.3483,0.5234,0.7548,0.3115,0.3367,0.5664,0.7827
lion_cub_1,2750,2,0.7399,0.073997,0.100003,1.351,0.0124,0.0428,0.037,0.426,0.486,medium,good,0.3231,0.3259,0.5008,0.7424,0.3123,0.314,0.5327,0.7676
lion_cub_1,2750,3,0.7816,0.081936,0.086441,1.055,0.0315,-0.0008,0.0295,0.338,0.317,medium,good,0.2885,0.2542,0.4548,0.7469,0.3003,0.2688,0.4658,0.791
lion_cub_1,2750,4,0.7621,0.075114,0.084756,1.128,0.0213,0.0104,0.028,0.36,0.361,medium,good,0.3068,0.2419,0.4712,0.6988,0.3198,0.2388,0.4946,0.7236
lion_cub_1,2751,0,0.7517,0.087057,0.113689,1.306,0.024,0.0407,0.0395,0.527,0.571,medium,good,0.3093,0.3483,0.5234,0.7548,0.3115,0.3367,0.5664,0.7827
lion_cub_1,2751,1,0.7399,0.073997,0.100003,1.351,0.0124,0.0428,0.037,0.426,0.486,medium,good,0.3231,0.3259,0.5008,0.7424,0.3123,0.314,0.5327,0.7676
lion_cub_1,2751,2,0.7724,0.081936,0.086169,1.052,0.0331,-0.0003,0.0263,0.338,0.32,medium,good,0.2885,0.2542,0.4548,0.7469,0.3005,0.272,0.4666,0.791
lion_cub_1,2751,3,0.7617,0.075114,0.084811,1.129,0.0215,0.0106,0.0276,0.36,0.361,medium,good,0.3068,0.2419,0.4712,0.6988,0.3198,0.2391,0.4949,0.7236
lion_cub_1,2751,4,0.6938,0.071965,0.089204,1.24,0.0418,0.0364,-0.003,0.302,0.379,medium,good,0.3093,0.2083,0.4567,0.6965,0.3064,0.2487,0.4902,0.7339
lion_cub_1,2752,0,0.7387,0.073997,0.100173,1.354,0.0134,0.0436,0.0363,0.426,0.488,medium,good,0.3231,0.3259,0.5008,0.7424,0.3125,0.3152,0.5337,0.7681
lion_cub_1,2752,1,0.7732,0.081936,0.086255,1.053,0.0332,-0.0,0.0261,0.338,0.32,medium,good,0.2885,0.2542,0.4548,0.7469,0.3003,0.2722,0.4666,0.791
lion_cub_1,2752,2,0.7617,0.075114,0.084811,1.129,0.0215,0.0106,0.0276,0.36,0.361,medium,good,0.3068,0.2419,0.4712,0.6988,0.3198,0.2391,0.4949,0.7236
lion_cub_1,2752,3,0.6938,0.071965,0.089204,1.24,0.0418,0.0364,-0.003,0.302,0.379,medium,good,0.3093,0.2083,0.4567,0.6965,0.3064,0.2487,0.4902,0.7339
lion_cub_1,2752,4,0.756,0.06993,0.085453,1.222,0.0187,0.0369,-0.006,0.343,0.431,medium,good,0.2935,0.2744,0.4485,0.7256,0.2837,0.2939,0.4756,0.7393
lion_cub_1,2753,0,0.7732,0.081936,0.086255,1.053,0.0332,-0.0,0.0261,0.338,0.32,medium,good,0.2885,0.2542,0.4548,0.7469,0.3003,0.2722,0.4666,0.791
lion_cub_1,2753,1,0.7617,0.075114,0.084811,1.129,0.0215,0.0106,0.0276,0.36,0.361,medium,good,0.3068,0.2419,0.4712,0.6988,0.3198,0.2391,0.4949,0.7236
lion_cub_1,2753,2,0.6938,0.071965,0.089204,1.24,0.0418,0.0364,-0.003,0.302,0.379,medium,good,0.3093,0.2083,0.4567,0.6965,0.3064,0.2487,0.4902,0.7339
lion_cub_1,2753,3,0.756,0.06993,0.085453,1.222,0.0187,0.0369,-0.006,0.343,0.431,medium,good,0.2935,0.2744,0.4485,0.7256,0.2837,0.2939,0.4756,0.7393
lion_cub_1,2753,4,0.8409,0.081665,0.089026,1.09,0.0157,0.0221,-0.0156,0.367,0.428,medium,good,0.2721,0.2833,0.4453,0.7548,0.2737,0.3005,0.469,0.7563
lion_cub_1,2754,0,0.7617,0.075114,0.084811,1.129,0.0215,0.0106,0.0276,0.36,0.361,medium,good,0.3068,0.2419,0.4712,0.6988,0.3198,0.2391,0.4949,0.7236
lion_cub_1,2754,1,0.6938,0.071965,0.089204,1.24,0.0418,0.0364,-0.003,0.302,0.379,medium,good,0.3093,0.2083,0.4567,0.6965,0.3064,0.2487,0.4902,0.7339
lion_cub_1,2754,2,0.756,0.06993,0.085453,1.222,0.0187,0.0369,-0.006,0.343,0.431,medium,good,0.2935,0.2744,0.4485,0.7256,0.2837,0.2939,0.4756,0.7393
lion_cub_1,2754,3,0.8409,0.081665,0.089026,1.09,0.0157,0.0221,-0.0156,0.367,0.428,medium,good,0.2721,0.2833,0.4453,0.7548,0.2737,0.3005,0.469,0.7563
lion_cub_1,2754,4,0.8256,0.096347,0.107038,1.111,0.0177,0.0268,-0.0164,0.346,0.41,medium,good,0.3269,0.2844,0.5096,0.8119,0.3218,0.3083,0.5312,0.8193
lion_cub_1,2755,0,0.6938,0.071965,0.089204,1.24,0.0418,0.0364,-0.003,0.302,0.379,medium,good,0.3093,0.2083,0.4567,0.6965,0.3064,0.2487,0.4902,0.7339
lion_cub_1,2755,1,0.756,0.06993,0.085453,1.222,0.0187,0.0369,-0.006,0.343,0.431,medium,good,0.2935,0.2744,0.4485,0.7256,0.2837,0.2939,0.4756,0.7393
lion_cub_1,2755,2,0.8409,0.081665,0.089026,1.09,0.0157,0.0221,-0.0156,0.367,0.428,medium,good,0.2721,0.2833,0.4453,0.7548,0.2737,0.3005,0.469,0.7563
lion_cub_1,2755,3,0.8265,0.096347,0.106913,1.11,0.0178,0.0266,-0.0164,0.346,0.409,medium,good,0.3269,0.2844,0.5096,0.8119,0.322,0.3083,0.5312,0.8193
lion_cub_1,2755,4,0.9179,0.069063,0.068779,0.996,0.0067,-0.0009,0.0007,0.368,0.365,medium,good,0.3446,0.2889,0.5039,0.7223,0.3384,0.2881,0.4968,0.7222
lion_cub_1,2756,0,0.756,0.06993,0.085453,1.222,0.0187,0.0369,-0.006,0.343,0.431,medium,good,0.2935,0.2744,0.4485,0.7256,0.2837,0.2939,0.4756,0.7393
lion_cub_1,2756,1,0.8409,0.081665,0.089026,1.09,0.0157,0.0221,-0.0156,0.367,0.428,medium,good,0.2721,0.2833,0.4453,0.7548,0.2737,0.3005,0.469,0.7563
lion_cub_1,2756,2,0.8265,0.096347,0.106913,1.11,0.0178,0.0266,-0.0164,0.346,0.409,medium,good,0.3269,0.2844,0.5096,0.8119,0.322,0.3083,0.5312,0.8193
lion_cub_1,2756,3,0.9194,0.069063,0.068825,0.997,0.0065,-0.0002,-0.001,0.368,0.368,medium,good,0.3446,0.2889,0.5039,0.7223,0.3381,0.2898,0.4973,0.7222
lion_cub_1,2756,4,0.8184,0.053487,0.065236,1.22,0.0187,0.0167,0.0337,0.337,0.349,medium,good,0.3458,0.3046,0.48,0.7032,0.3459,0.3044,0.4968,0.7368
lion_cub_1,2757,0,0.8419,0.081665,0.088914,1.089,0.0156,0.0218,-0.0156,0.367,0.428,medium,good,0.2721,0.2833,0.4453,0.7548,0.2737,0.3005,0.4688,0.7563
lion_cub_1,2757,1,0.8265,0.096347,0.106913,1.11,0.0178,0.0266,-0.0164,0.346,0.409,medium,good,0.3269,0.2844,0.5096,0.8119,0.322,0.3083,0.5312,0.8193
lion_cub_1,2757,2,0.9194,0.069063,0.068825,0.997,0.0065,-0.0002,-0.001,0.368,0.368,medium,good,0.3446,0.2889,0.5039,0.7223,0.3381,0.2898,0.4973,0.7222
lion_cub_1,2757,3,0.8171,0.053487,0.065342,1.222,0.0188,0.017,0.0337,0.337,0.35,medium,good,0.3458,0.3046,0.48,0.7032,0.3459,0.3044,0.4971,0.7368
lion_cub_1,2757,4,0.7176,0.044318,0.054024,1.219,0.0202,0.0181,0.0198,0.287,0.317,small,good,0.3578,0.3785,0.4705,0.7716,0.3657,0.3577,0.4966,0.7705
lion_cub_1,2758,0,0.8256,0.096347,0.107038,1.111,0.0177,0.0268,-0.0164,0.346,0.41,medium,good,0.3269,0.2844,0.5096,0.8119,0.3218,0.3083,0.5312,0.8193
lion_cub_1,2758,1,0.9194,0.069063,0.068825,0.997,0.0065,-0.0002,-0.001,0.368,0.368,medium,good,0.3446,0.2889,0.5039,0.7223,0.3381,0.2898,0.4973,0.7222
lion_cub_1,2758,2,0.8171,0.053487,0.065342,1.222,0.0188,0.017,0.0337,0.337,0.35,medium,good,0.3458,0.3046,0.48,0.7032,0.3459,0.3044,0.4971,0.7368
lion_cub_1,2758,3,0.7176,0.044318,0.054024,1.219,0.0202,0.0181,0.0198,0.287,0.317,small,good,0.3578,0.3785,0.4705,0.7716,0.3657,0.3577,0.4966,0.7705
lion_cub_1,2758,4,0.7705,0.038295,0.043679,1.141,0.0138,0.0109,0.0134,0.328,0.347,small,good,0.3546,0.4334,0.4668,0.7749,0.3623,0.4224,0.4854,0.7773
lion_cub_1,2759,0,0.9194,0.069063,0.068825,0.997,0.0065,-0.0002,-0.001,0.368,0.368,medium,good,0.3446,0.2889,0.5039,0.7223,0.3381,0.2898,0.4973,0.7222
lion_cub_1,2759,1,0.8171,0.053487,0.065342,1.222,0.0188,0.017,0.0337,0.337,0.35,medium,good,0.3458,0.3046,0.48,0.7032,0.3459,0.3044,0.4971,0.7368
lion_cub_1,2759,2,0.7176,0.044318,0.054024,1.219,0.0202,0.0181,0.0198,0.287,0.317,small,good,0.3578,0.3785,0.4705,0.7716,0.3657,0.3577,0.4966,0.7705
lion_cub_1,2759,3,0.7696,0.038295,0.043736,1.142,0.0139,0.0112,0.0132,0.328,0.348,small,good,0.3546,0.4334,0.4668,0.7749,0.3623,0.4226,0.4856,0.7773
lion_cub_1,2759,4,0.8338,0.049361,0.055645,1.127,0.0121,0.0153,0.0044,0.368,0.405,small,good,0.3181,0.4155,0.4529,0.7816,0.3225,0.4131,0.4727,0.7837
lion_cub_1,2760,0,0.8184,0.053487,0.065236,1.22,0.0187,0.0167,0.0337,0.337,0.349,medium,good,0.3458,0.3046,0.48,0.7032,0.3459,0.3044,0.4968,0.7368
lion_cub_1,2760,1,0.7176,0.044318,0.054024,1.219,0.0202,0.0181,0.0198,0.287,0.317,small,good,0.3578,0.3785,0.4705,0.7716,0.3657,0.3577,0.4966,0.7705
lion_cub_1,2760,2,0.7696,0.038295,0.043736,1.142,0.0139,0.0112,0.0132,0.328,0.348,small,good,0.3546,0.4334,0.4668,0.7749,0.3623,0.4226,0.4856,0.7773
lion_cub_1,2760,3,0.8344,0.049361,0.055608,1.127,0.0121,0.0153,0.0042,0.368,0.405,small,good,0.3181,0.4155,0.4529,0.7816,0.3225,0.4133,0.4727,0.7837
lion_cub_1,2760,4,0.7183,0.057821,0.080493,1.392,0.0117,0.0396,0.0417,0.439,0.492,medium,good,0.2828,0.4177,0.4422,0.7805,0.2747,0.3977,0.4736,0.8022
lion_cub_1,2761,0,0.7176,0.044318,0.054024,1.219,0.0202,0.0181,0.0198,0.287,0.317,small,good,0.3578,0.3785,0.4705,0.7716,0.3657,0.3577,0.4966,0.7705
lion_cub_1,2761,1,0.7696,0.038295,0.043736,1.142,0.0139,0.0112,0.0132,0.328,0.348,small,good,0.3546,0.4334,0.4668,0.7749,0.3623,0.4226,0.4856,0.7773
lion_cub_1,2761,2,0.8344,0.049361,0.055608,1.127,0.0121,0.0153,0.0042,0.368,0.405,small,good,0.3181,0.4155,0.4529,0.7816,0.3225,0.4133,0.4727,0.7837
lion_cub_1,2761,3,0.7188,0.057821,0.080445,1.391,0.012,0.0396,0.0415,0.439,0.492,medium,good,0.2828,0.4177,0.4422,0.7805,0.2749,0.3984,0.4739,0.8027
lion_cub_1,2761,4,0.7318,0.058191,0.075803,1.303,0.0174,0.0229,0.0507,0.45,0.451,medium,good,0.2683,0.4155,0.4302,0.7749,0.2727,0.3828,0.4575,0.793
lion_cub_1,2762,0,0.7693,0.038295,0.043563,1.138,0.0139,0.0107,0.0132,0.328,0.346,small,good,0.3546,0.4334,0.4668,0.7749,0.3625,0.4226,0.4854,0.7773
lion_cub_1,2762,1,0.8344,0.049361,0.055608,1.127,0.0121,0.0153,0.0042,0.368,0.405,small,good,0.3181,0.4155,0.4529,0.7816,0.3225,0.4133,0.4727,0.7837
lion_cub_1,2762,2,0.7188,0.057821,0.080445,1.391,0.012,0.0396,0.0415,0.439,0.492,medium,good,0.2828,0.4177,0.4422,0.7805,0.2749,0.3984,0.4739,0.8027
lion_cub_1,2762,3,0.7318,0.058191,0.075803,1.303,0.0174,0.0229,0.0507,0.45,0.451,medium,good,0.2683,0.4155,0.4302,0.7749,0.2727,0.3828,0.4575,0.793
lion_cub_1,2762,4,0.7051,0.063846,0.089373,1.4,0.0189,0.0505,0.03,0.456,0.547,medium,good,0.2734,0.4155,0.4441,0.7895,0.2544,0.3826,0.4756,0.7866
lion_cub_1,2763,0,0.8344,0.049361,0.055608,1.127,0.0121,0.0153,0.0042,0.368,0.405,small,good,0.3181,0.4155,0.4529,0.7816,0.3225,0.4133,0.4727,0.7837
lion_cub_1,2763,1,0.7188,0.057821,0.080445,1.391,0.012,0.0396,0.0415,0.439,0.492,medium,good,0.2828,0.4177,0.4422,0.7805,0.2749,0.3984,0.4739,0.8027
lion_cub_1,2763,2,0.7318,0.058191,0.075803,1.303,0.0174,0.0229,0.0507,0.45,0.451,medium,good,0.2683,0.4155,0.4302,0.7749,0.2727,0.3828,0.4575,0.793
lion_cub_1,2763,3,0.7051,0.063846,0.089373,1.4,0.0189,0.0505,0.03,0.456,0.547,medium,good,0.2734,0.4155,0.4441,0.7895,0.2544,0.3826,0.4756,0.7866
lion_cub_1,2763,4,0.74,0.069776,0.094285,1.351,0.0094,0.0337,0.0545,0.544,0.554,medium,good,0.2851,0.3894,0.4799,0.7476,0.2759,0.3677,0.5044,0.7803
lion_cub_1,2764,0,0.7188,0.057821,0.080445,1.391,0.012,0.0396,0.0415,0.439,0.492,medium,good,0.2828,0.4177,0.4422,0.7805,0.2749,0.3984,0.4739,0.8027
lion_cub_1,2764,1,0.7318,0.058191,0.075803,1.303,0.0174,0.0229,0.0507,0.45,0.451,medium,good,0.2683,0.4155,0.4302,0.7749,0.2727,0.3828,0.4575,0.793
lion_cub_1,2764,2,0.7051,0.063846,0.089373,1.4,0.0189,0.0505,0.03,0.456,0.547,medium,good,0.2734,0.4155,0.4441,0.7895,0.2544,0.3826,0.4756,0.7866
lion_cub_1,2764,3,0.74,0.069776,0.094285,1.351,0.0094,0.0337,0.0545,0.544,0.554,medium,good,0.2851,0.3894,0.4799,0.7476,0.2759,0.3677,0.5044,0.7803
lion_cub_1,2764,4,0.7637,0.101096,0.132377,1.309,0.0206,0.0443,0.0469,0.731,0.755,medium,good,0.24,0.3875,0.5119,0.7593,0.2351,0.3528,0.5513,0.7715
lion_cub_1,2765,0,0.7312,0.058191,0.075867,1.304,0.0175,0.0234,0.05,0.45,0.453,medium,good,0.2683,0.4155,0.4302,0.7749,0.2727,0.3835,0.458,0.793
lion_cub_1,2765,1,0.7051,0.063846,0.089373,1.4,0.0189,0.0505,0.03,0.456,0.547,medium,good,0.2734,0.4155,0.4441,0.7895,0.2544,0.3826,0.4756,0.7866
lion_cub_1,2765,2,0.74,0.069776,0.094285,1.351,0.0094,0.0337,0.0545,0.544,0.554,medium,good,0.2851,0.3894,0.4799,0.7476,0.2759,0.3677,0.5044,0.7803
